	Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	Final Grouping	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2	Unnamed: 50	Unnamed: 51
0	DRX498928	DRR515042	12/5/2023 13:41	12/5/2023 13:59	21297652.0	4302125704.0	21297652.0	202.0	1765.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/DRR000/515/DRR515042/DRR515042.lite.1	log_phase	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	100.0	0.0	ILLUMINA	Illumina NovaSeq 6000	2000.0	DRP010848	PRJDB17078	3.0	1049209.0	DRS344402	SAMD00659492	simple	561275.0	Mycobacterium tuberculosis variant bovis BCG str. Tokyo 172	SAMD00659492							no					NIIGATA	DRA017498		public	CF70B08F1994C75DE538A0369F2522FC	5CA5932B817C95769132AD4C03D7B5A4				
1	DRX498929	DRR515043	12/5/2023 13:41	12/5/2023 14:01	22395041.0	4523798282.0	22395041.0	202.0	1679.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/DRR000/515/DRR515043/DRR515043.lite.1	stationary_phase_replicate1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	100.0	0.0	ILLUMINA	Illumina NovaSeq 6000	2001.0	DRP010848	PRJDB17078	3.0	1049209.0	DRS344403	SAMD00659493	simple	561275.0	Mycobacterium tuberculosis variant bovis BCG str. Tokyo 172	SAMD00659493							no					NIIGATA	DRA017498		public	6C14DA5118C150F1281872892BB12652	966EB0288554E8796FC1BAE6D4669DC0				
2	DRX498930	DRR515044	12/5/2023 13:41	12/5/2023 13:59	21432993.0	4329464586.0	21432993.0	202.0	1623.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/DRR000/515/DRR515044/DRR515044.lite.1	stationary_phase_replicate2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	100.0	0.0	ILLUMINA	Illumina NovaSeq 6000	2001.0	DRP010848	PRJDB17078	3.0	1049209.0	DRS344404	SAMD00659494	simple	561275.0	Mycobacterium tuberculosis variant bovis BCG str. Tokyo 172	SAMD00659494							no					NIIGATA	DRA017498		public	43E1686F162A8BDBF768C64A92B56D51	0C5744907F55C1D3862A2532553BBDAD				
3	ERX10023328	ERR10508033	11/29/2022 1:14	12/18/2022 16:53	22111140.0	6633342000.0	22111140.0	300.0	2444.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR010/10508/ERR10508033/ERR10508033.lite.1		RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	unspecified	2002.0	ERP142718	PRJEB57729		906423.0	ERS14260709	SAMEA112150803	simple	410289.0	Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2	SAMEA112150803							no					UNIVERSITY OF BIRMINGHAM	ERA18855638		public	CC687EA0E56BC856C96F41777002EA84	484B2D635ADAB52D8C4408A809ECB5E2				
4	ERX10023329	ERR10508034	11/29/2022 1:14	12/18/2022 16:57	18589172.0	5576751600.0	18589172.0	300.0	2049.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR010/10508/ERR10508034/ERR10508034.lite.1		RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	unspecified	2002.0	ERP142718	PRJEB57729		906423.0	ERS14260710	SAMEA112150804	simple	410289.0	Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2	SAMEA112150804							no					UNIVERSITY OF BIRMINGHAM	ERA18855638		public	D68D029A049777109EA19E7192D087F1	851E84832A42A13E0A5082B64E45AB24				
5	ERX10023330	ERR10508035	11/29/2022 1:14	12/18/2022 16:52	20429682.0	6128904600.0	20429682.0	300.0	2277.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR010/10508/ERR10508035/ERR10508035.lite.1		RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	unspecified	2002.0	ERP142718	PRJEB57729		906423.0	ERS14260711	SAMEA112150805	simple	410289.0	Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2	SAMEA112150805							no					UNIVERSITY OF BIRMINGHAM	ERA18855638		public	084F233310902C08B26FE90AB57BB8C3	9AAAB530B90C075AC65B4C97DA590295				
6	ERX10023331	ERR10508036	11/29/2022 1:14	12/18/2022 16:53	20728731.0	6218619300.0	20728731.0	300.0	2355.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR010/10508/ERR10508036/ERR10508036.lite.1		RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	unspecified	2002.0	ERP142718	PRJEB57729		906423.0	ERS14260712	SAMEA112150806	simple	410289.0	Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2	SAMEA112150806							no					UNIVERSITY OF BIRMINGHAM	ERA18855638		public	C8641FBD1B9601FDEA54497886B72624	D889057ED905A9435E46156C0CEEB5E8				
7	ERX10023332	ERR10508037	11/29/2022 1:14	12/18/2022 16:58	22893193.0	6867957900.0	22893193.0	300.0	2526.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR010/10508/ERR10508037/ERR10508037.lite.1		RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	unspecified	2003.0	ERP142718	PRJEB57729		906423.0	ERS14260713	SAMEA112150807	simple	410289.0	Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2	SAMEA112150807							no					UNIVERSITY OF BIRMINGHAM	ERA18855638		public	2412E2C0B0CD1D27AB9533318CA21AD2	823BCAEDB0F6EACEB78A4A8F9BCAF298				
8	ERX10023333	ERR10508038	11/29/2022 1:14	12/18/2022 16:53	23293575.0	6988072500.0	23293575.0	300.0	2605.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR010/10508/ERR10508038/ERR10508038.lite.1		RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	unspecified	2003.0	ERP142718	PRJEB57729		906423.0	ERS14260714	SAMEA112150808	simple	410289.0	Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2	SAMEA112150808							no					UNIVERSITY OF BIRMINGHAM	ERA18855638		public	9D044BC9CCF0337278EF711001EF7A84	D8A62B8A8CC2E5BF260ECCD376962165				
9	ERX10023334	ERR10508039	11/29/2022 1:14	12/18/2022 17:00	27567550.0	8270265000.0	27567550.0	300.0	3100.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR010/10508/ERR10508039/ERR10508039.lite.1		RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	unspecified	2003.0	ERP142718	PRJEB57729		906423.0	ERS14260715	SAMEA112150809	simple	410289.0	Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2	SAMEA112150809							no					UNIVERSITY OF BIRMINGHAM	ERA18855638		public	DA6DEC76A0CE4B341A009A209E483F3E	700218BAA57E3D9D6D510DDBF8E793C6				
